epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,102.927,0.50782,0.95333,1,0.12574,0.000473915,0.000473915,0.000473915
2,214.639,0.19282,0.96889,1,0.08809,0.000931434,0.000931434,0.000931434
3,328.02,0.14831,0.96,1,0.12467,0.00137009,0.00137009,0.00137009
4,439.078,0.12838,0.98333,1,0.0586,0.00134412,0.00134412,0.00134412
5,551.309,0.09413,0.98111,1,0.06202,0.00131582,0.00131582,0.00131582
6,661.571,0.0904,0.98556,1,0.04377,0.00128753,0.00128753,0.00128753
7,771.884,0.07283,0.98889,1,0.04213,0.00125923,0.00125923,0.00125923
8,881.88,0.06755,0.99444,1,0.03879,0.00123094,0.00123094,0.00123094
9,991.776,0.05137,0.98333,1,0.07144,0.00120265,0.00120265,0.00120265
10,1102.12,0.06348,0.99222,1,0.03359,0.00117435,0.00117435,0.00117435
11,1213.46,0.05152,0.99111,1,0.04627,0.00114606,0.00114606,0.00114606
12,1320.36,0.03473,0.99444,1,0.04005,0.00111776,0.00111776,0.00111776
13,1427.06,0.04133,0.99222,1,0.04786,0.00108947,0.00108947,0.00108947
14,1537.99,0.04812,0.99444,1,0.05501,0.00106118,0.00106118,0.00106118
15,1649.94,0.04188,0.99111,1,0.05426,0.00103288,0.00103288,0.00103288
16,1766.01,0.03928,0.99111,1,0.08004,0.00100459,0.00100459,0.00100459
